Left,Right,Date,
LIU Brooklyn Blackbirds,Massachusetts-Lowell River Hawks,11/22/17,
Bethel (TN) Wildcats,Austin Peay Governors,11/22/17,
Cal Poly Mustangs,Charleston Cougars,11/22/17,
Appalachian State Mountaineers,James Madison Dukes,11/22/17,
Kean Cougars,NJIT Highlanders,11/22/17,
Prairie View A&M Panthers,Georgia State Panthers,11/22/17,
Missouri-St. Louis Tritons,Indiana State Sycamores,11/22/17,
UMKC Kangaroos,Penn Quakers,11/22/17,
Louisiana Ragin' Cajuns,Richmond Spiders,11/22/17,
George Mason Patriots,Fresno State Bulldogs,11/22/17,
Brown Bears,Stony Brook Seawolves,11/22/17,
Central Michigan Chippewas,Sam Houston State Bearkats,11/22/17,
Ball State Cardinals,Bucknell Bison,11/22/17,
Albany Great Danes,Dartmouth Big Green,11/22/17,
Troy Trojans,East Tennessee State Buccaneers,11/22/17,
Radford Highlanders,Elon Phoenix,11/22/17,
Monmouth Hawks,UNC Asheville Bulldogs,11/22/17,
Lafayette Leopards,Princeton Tigers,11/22/17,
Maine-Fort Kent Bengals,Vermont Catamounts,11/22/17,
Georgia Southern Eagles,Towson Tigers,11/22/17,
Missouri Science & Technology Miners,Bradley Braves,11/22/17,
UT Martin Skyhawks,Southern University Jaguars,11/22/17,
Southern-New Orleans Knights,Lamar Cardinals,11/22/17,
Detroit Titans,Saint Louis Billikens,11/22/17,
Western Illinois Leathernecks,SIUE Cougars,11/22/17,
Florida A&M Rattlers,North Dakota State Bison,11/22/17,
Loyola Marymount Lions,Incarnate Word Cardinals,11/22/17,
Stetson Hatters,South Alabama Jaguars,11/22/17,
Quincy Hawks,Illinois State Redbirds,11/22/17,
Colorado State Rams,New Mexico State Aggies,11/22/17,
Idaho Vandals,Santa Clara Broncos,11/22/17,
Idaho State Bengals,San Jose State Spartans,11/22/17,
UAPB Golden Lions,Texas State Bobcats,11/22/17,
Western New Mexico Mustangs,UC Riverside Highlanders,11/22/17,
Bakersfield Roadrunners,Alaska-Anchorage Seawolves,11/23/17,
Chicago State Cougars,UMBC Retrievers,11/23/17,
Hampton Pirates,Northern Arizona Lumberjacks,11/23/17,
Presbyterian Blue Hose,Nicholls Colonels,11/23/17,
Charleston Cougars,Sam Houston State Bearkats,11/23/17,
Rider Broncs,UC Irvine Anteaters,11/23/17,
Santa Clara Broncos,Alaska-Anchorage Seawolves,11/24/17,
San Diego State Aztecs,Sacramento State Hornets,11/24/17,
Chicago State Cougars,Presbyterian Blue Hose,11/24/17,
Tennessee Tech Golden Eagles,Omaha Mavericks,11/24/17,
Furman Paladins,New Hampshire Wildcats,11/24/17,
Northern Arizona Lumberjacks,UC Irvine Anteaters,11/24/17,
Abilene Christian Wildcats,Campbell Fighting Camels,11/24/17,
Southeastern Louisiana Lions,Samford Bulldogs,11/24/17,
Maryland Eastern Shore Hawks,Jackson State Tigers,11/24/17,
Nicholls Colonels,UMBC Retrievers,11/24/17,
Bryant Bulldogs,Hartford Hawks,11/24/17,
Spring Hill Badgers,New Orleans Privateers,11/24/17,
Utah State Aggies,Northeastern Huskies,11/24/17,
Toledo Rockets,Cornell Big Red,11/24/17,
St. Francis Brooklyn Terriers,Navy Midshipmen,11/24/17,
Alabama A&M Bulldogs,Niagara Purple Eagles,11/24/17,
Harvard Crimson,Saint Joseph's Hawks,11/24/17,
Jacksonville Dolphins,Fairfield Stags,11/24/17,
USC Upstate Spartans,Bowling Green Falcons,11/24/17,
Central Connecticut State Blue Devils,Cleveland State Vikings,11/24/17,
UNCW Seahawks,Loyola Chicago Ramblers,11/24/17,
Norfolk State Spartans,Robert Morris Colonials,11/24/17,
Mount St. Mary's Mountaineers,Ohio Bobcats,11/24/17,
Western Carolina Catamounts,UT Arlington Mavericks,11/24/17,
Florida A&M Rattlers,Green Bay Phoenix,11/24/17,
Gardner-Webb Runnin' Bulldogs,Wright State Raiders,11/24/17,
Denver Pioneers,FGCU Eagles,11/24/17,
Kent State Golden Flashes,Valparaiso Crusaders,11/24/17,
Evangel Crusaders,Missouri State Bears,11/24/17,
Fontbonne Griffins,Eastern Illinois Panthers,11/24/17,
Northwestern State Demons,Colorado State Rams,11/24/17,
Northern Colorado Bears,Youngstown State Penguins,11/24/17,
UAPB Golden Lions,Pacific Tigers,11/24/17,
Cal Poly Mustangs,Central Michigan Chippewas,11/24/17,
Sacramento State Hornets,Cal State Fullerton Titans,11/24/17,
Prairie View A&M Panthers,UC Santa Barbara Gauchos,11/24/17,
Hampton Pirates,Rider Broncs,11/24/17,
Texas State Bobcats,Canisius Golden Griffins,11/24/17,
Idaho Vandals,Bakersfield Roadrunners,11/25/17,
Nevada Wolf Pack,Hawaii Rainbow Warriors,11/25/17,
Omaha Mavericks,Jackson State Tigers,11/25/17,
LIU Brooklyn Blackbirds,Brown Bears,11/25/17,
Ball State Cardinals,Indiana State Sycamores,11/25/17,
Utah State Aggies,New Hampshire Wildcats,11/25/17,
Albany Great Danes,Holy Cross Crusaders,11/25/17,
Tennessee Tech Golden Eagles,Maryland Eastern Shore Hawks,11/25/17,
Georgia Southern Eagles,Bradley Braves,11/25/17,
Bowling Green Falcons,Campbell Fighting Camels,11/25/17,
Columbia Lions,Colgate Raiders,11/25/17,
Siena Heights Saints,Detroit Titans,11/25/17,
Toccoa Falls Eagles,Liberty Flames,11/25/17,
Mississippi Valley State Delta Devils,Southeastern Louisiana Lions,11/25/17,
Hofstra Pride,Siena Saints,11/25/17,
Northwood (MI) Timberwolves,Western Michigan Broncos,11/25/17,
Vermont Catamounts,Yale Bulldogs,11/25/17,
Massachusetts Minutemen,BYU Cougars,11/25/17,
Fairfield Stags,Gardner-Webb Runnin' Bulldogs,11/25/17,
Utah Valley Wolverines,North Dakota Fighting Hawks,11/25/17,
Furman Paladins,Northeastern Huskies,11/25/17,
VMI Keydets,American University Eagles,11/25/17,
Robert Morris Colonials,Little Rock Trojans,11/25/17,
Florida College Falcons,Bethune-Cookman Wildcats,11/25/17,
Georgian Court Lions,Delaware State Hornets,11/25/17,
Fort Wayne Mastodons,East Tennessee State Buccaneers,11/25/17,
Southern-New Orleans Knights,McNeese State Cowboys,11/25/17,
James Madison Dukes,Radford Highlanders,11/25/17,
Sam Houston State Bearkats,Santa Clara Broncos,11/25/17,
Denver Pioneers,St. Francis Brooklyn Terriers,11/25/17,
Alabama A&M Bulldogs,Western Carolina Catamounts,11/25/17,
Drexel Dragons,NJIT Highlanders,11/25/17,
Asbury College Eagles,Eastern Kentucky Colonels,11/25/17,
Kent State Golden Flashes,Loyola Chicago Ramblers,11/25/17,
Jacksonville Dolphins,Wright State Raiders,11/25/17,
Abilene Christian Wildcats,USC Upstate Spartans,11/25/17,
Concordia College Hornets,Alcorn State Braves,11/25/17,
Charleston Cougars,Alaska-Anchorage Seawolves,11/25/17,
Davidson Wildcats,Appalachian State Mountaineers,11/25/17,
Akron Zips,Dayton Flyers,11/25/17,
Penn Quakers,Monmouth Hawks,11/25/17,
UT Arlington Mavericks,Niagara Purple Eagles,11/25/17,
Tennessee Wesleyan Bulldogs,Chattanooga Mocs,11/25/17,
Tennessee State Tigers,Kennesaw State Owls,11/25/17,
Navy Midshipmen,FGCU Eagles,11/25/17,
UNCW Seahawks,Valparaiso Crusaders,11/25/17,
Northern Colorado Bears,South Dakota Coyotes,11/25/17,
Southern Illinois Salukis,Murray State Racers,11/25/17,
Grambling State Tigers,Texas-Rio Grande Valley Vaqueros,11/25/17,
Stetson Hatters,North Dakota State Bison,11/25/17,
Loyola Marymount Lions,Boise State Broncos,11/25/17,
San Diego Toreros,Grand Canyon Antelopes,11/25/17,
Charleston Southern Buccaneers,Illinois State Redbirds,11/25/17,
Texas State Bobcats,Pacific Tigers,11/25/17,
Black Hills State Yellow Jackets,Weber State Wildcats,11/25/17,
Cal Poly Mustangs,Idaho Vandals,11/25/17,
Southern Utah Thunderbirds,UNLV Runnin' Rebels,11/25/17,
Canisius Golden Griffins,UAPB Golden Lions,11/25/17,
Central Michigan Chippewas,Bakersfield Roadrunners,11/26/17,
Navy Midshipmen,Denver Pioneers,11/26/17,
Bowling Green Falcons,Abilene Christian Wildcats,11/26/17,
Gardner-Webb Runnin' Bulldogs,Jacksonville Dolphins,11/26/17,
Princeton Tigers,Fairleigh Dickinson Knights,11/26/17,
Manhattan Jaspers,Fordham Rams,11/26/17,
Wagner Seahawks,Hartford Hawks,11/26/17,
Saint Peter's Peacocks,Lafayette Leopards,11/26/17,
Hiwassee College Tigers,Mercer Bears,11/26/17,
Bucknell Bison,Stony Brook Seawolves,11/26/17,
Maine Black Bears,Quinnipiac Bobcats,11/26/17,
Hartwick Hawks,Binghamton Bearcats,11/26/17,
Loyola Maryland Greyhounds,Massachusetts-Lowell River Hawks,11/26/17,
Saint Joseph's Hawks,Sacramento State Hornets,11/26/17,
Miami (OH) RedHawks,Austin Peay Governors,11/26/17,
Chicago State Cougars,Drake Bulldogs,11/26/17,
Montana State Bobcats,Fresno State Bulldogs,11/26/17,
Mississippi Valley State Delta Devils,Samford Bulldogs,11/26/17,
North Carolina Central Eagles,Southeast Missouri State Redhawks,11/26/17,
Florida A&M Rattlers,Stephen F. Austin Lumberjacks,11/26/17,
North Carolina Wesleyan Battling Bishops,Longwood Lancers,11/26/17,
Youngstown State Penguins,South Dakota Coyotes,11/26/17,
Dakota State Trojans,South Dakota State Jackrabbits,11/26/17,
Norfolk State Spartans,Little Rock Trojans,11/26/17,
Wheaton (MA) Lyons,Boston University Terriers,11/26/17,
USC Upstate Spartans,Campbell Fighting Camels,11/26/17,
Fairfield Stags,Wright State Raiders,11/26/17,
New Orleans Privateers,South Alabama Jaguars,11/26/17,
Rockford University Regents,Northern Illinois Huskies,11/26/17,
Wofford Terriers,UNC Asheville Bulldogs,11/26/17,
Rust College Bearcats,Louisiana-Monroe Warhawks,11/26/17,
UMKC Kangaroos,UT Martin Skyhawks,11/26/17,
Canisius Golden Griffins,Pacific Tigers,11/26/17,
New Mexico Highlands Cowboys,Wyoming Cowboys,11/26/17,
St. Francis Brooklyn Terriers,FGCU Eagles,11/26/17,
Brown Bears,Bryant Bulldogs,11/26/17,
South Carolina State Bulldogs,Winthrop Eagles,11/26/17,
Carroll (MT) Fighting Saints,Montana Grizzlies,11/26/17,
Harvard Crimson,Cal State Fullerton Titans,11/26/17,
Shenandoah Hornets,UMBC Retrievers,11/27/17,
St. Mary's (MD) Seahawks,Towson Tigers,11/27/17,
Yale Bulldogs,Delaware Fightin' Blue Hens,11/27/17,
Cornell Big Red,Duquesne Dukes,11/27/17,
Howard Bison,Liberty Flames,11/27/17,
Albany Great Danes,Monmouth Hawks,11/27/17,
Morgan State Bears,Mount St. Mary's Mountaineers,11/27/17,
Army West Point Black Knights,Niagara Purple Eagles,11/27/17,
St. Leo Lions,Hampton Pirates,11/27/17,
Lipscomb Bisons,Belmont Bruins,11/27/17,
Blue Mountain College Toppers,Nicholls Colonels,11/27/17,
Oakland Golden Grizzlies,Oral Roberts Golden Eagles,11/27/17,
Texas-Dallas Comets,UT Arlington Mavericks,11/27/17,
Delaware State Hornets,Troy Trojans,11/27/17,
Stetson Hatters,Green Bay Phoenix,11/27/17,
Morehead State Eagles,Central Arkansas Bears,11/27/17,
Idaho State Bengals,Seattle Redhawks,11/27/17,
Adams State Grizzlies,Hawaii Rainbow Warriors,11/28/17,
Chattanooga Mocs,Akron Zips,11/28/17,
Oakland City Mighty Oaks,Ball State Cardinals,11/28/17,
Loyola Maryland Greyhounds,Dartmouth Big Green,11/28/17,
Iona Gaels,Ohio Bobcats,11/28/17,
UNCG Spartans,Presbyterian Blue Hose,11/28/17,
Brown Bears,Rhode Island Rams,11/28/17,
Morris College Hornets,South Carolina State Bulldogs,11/28/17,
Appalachian State Mountaineers,VCU Rams,11/28/17,
Detroit Titans,Fort Wayne Mastodons,11/28/17,
LIU Brooklyn Blackbirds,NJIT Highlanders,11/28/17,
VMI Keydets,Charleston Southern Buccaneers,11/28/17,
Schreiner Mountaineers,Sam Houston State Bearkats,11/28/17,
Hannibal-LaGrange Trojans,Southeast Missouri State Redhawks,11/28/17,
Dallas Christian Crusaders,Houston Baptist Huskies,11/28/17,
Harris-Stowe Hornets,Murray State Racers,11/28/17,
Jackson State Tigers,Louisiana-Monroe Warhawks,11/28/17,
Loyola (LA) Wolfpack,Southeastern Louisiana Lions,11/28/17,
Western Michigan Broncos,Saint Louis Billikens,11/28/17,
McNeese State Cowboys,Louisiana Ragin' Cajuns,11/28/17,
Colorado State Rams,Missouri State Bears,11/28/17,
Fisk University Bulldogs,Tennessee State Tigers,11/28/17,
Utah State Aggies,Valparaiso Crusaders,11/28/17,
IUPUI Jaguars,Western Illinois Leathernecks,11/28/17,
Presentation Saints,North Dakota Fighting Hawks,11/28/17,
North Dakota State Bison,Stephen F. Austin Lumberjacks,11/28/17,
Loyola Chicago Ramblers,Boise State Broncos,11/28/17,
UC Santa Barbara Gauchos,San Francisco Dons,11/28/17,
Cal State-Los Angeles Golden Eagles,Loyola Marymount Lions,11/28/17,
San Jose State Spartans,Bowling Green Falcons,11/29/17,
Arkansas State Red Wolves,Cleveland State Vikings,11/29/17,
Wofford Terriers,Coastal Carolina Chanticleers,11/29/17,
Lafayette Leopards,Drexel Dragons,11/29/17,
East Tennessee State Buccaneers,Fordham Rams,11/29/17,
Winthrop Eagles,Furman Paladins,11/29/17,
Morgan State Bears,George Washington Colonials,11/29/17,
Wiley Wildcats,Southern University Jaguars,11/29/17,
Air Force Falcons,Indiana State Sycamores,11/29/17,
George Mason Patriots,James Madison Dukes,11/29/17,
Midway Eagles,Miami (OH) RedHawks,11/29/17,
USC Upstate Spartans,UNC Asheville Bulldogs,11/29/17,
Buffalo Bulls,Niagara Purple Eagles,11/29/17,
Eastern Michigan Eagles,North Florida Ospreys,11/29/17,
Vermont Catamounts,Richmond Spiders,11/29/17,
St. Bonaventure Bonnies,Siena Saints,11/29/17,
American University Eagles,Saint Francis U Red Flash,11/29/17,
Bucknell Bison,Saint Joseph's Hawks,11/29/17,
Fairleigh Dickinson Knights,Saint Peter's Peacocks,11/29/17,
Shawnee State Bears,Stony Brook Seawolves,11/29/17,
Lipscomb Bisons,Tennessee Tech Golden Eagles,11/29/17,
Robert Morris Colonials,Youngstown State Penguins,11/29/17,
Mid-Atlantic Christian Mustangs,Hampton Pirates,11/29/17,
Massachusetts Minutemen,Quinnipiac Bobcats,11/29/17,
Colgate Raiders,Albany Great Danes,11/29/17,
Bluefield State Big Blues,Longwood Lancers,11/29/17,
Webber International Warriors,FGCU Eagles,11/29/17,
Berea College Mountaineers,Northern Kentucky Norse,11/29/17,
Sacred Heart Pioneers,Massachusetts-Lowell River Hawks,11/29/17,
Boston University Terriers,New Hampshire Wildcats,11/29/17,
Central Arkansas Bears,Little Rock Trojans,11/29/17,
Lyon Scots,Northwestern State Demons,11/29/17,
UNLV Runnin' Rebels,UNI Panthers,11/29/17,
Lehigh Mountain Hawks,Princeton Tigers,11/29/17,
SIUE Cougars,Southern Illinois Salukis,11/29/17,
Texas A&M-Corpus Christi Islanders,Texas State Bobcats,11/29/17,
UIC Flames,Troy Trojans,11/29/17,
Georgia State Panthers,Alabama A&M Bulldogs,11/29/17,
Drake Bulldogs,Omaha Mavericks,11/29/17,
Kent State Golden Flashes,Norfolk State Spartans,11/29/17,
Bryant Bulldogs,Yale Bulldogs,11/29/17,
Binghamton Bearcats,Delaware State Hornets,11/29/17,
Wyoming Cowboys,Denver Pioneers,11/29/17,
Bethesda Flames,Montana State Bobcats,11/29/17,
Evansville Aces,New Mexico Lobos,11/29/17,
BYU Cougars,Utah Valley Wolverines,11/29/17,
Milwaukee Panthers,Northern Illinois Huskies,11/29/17,
Northern Colorado Bears,UC Davis Aggies,11/29/17,
Whittier Poets,UC Irvine Anteaters,11/29/17,
Illinois State Redbirds,Nevada Wolf Pack,11/29/17,
Southern Utah Thunderbirds,Pepperdine Waves,11/29/17,
Alice Lloyd College Eagles,Morehead State Eagles,11/30/17,
North Carolina A&T Aggies,Central Connecticut State Blue Devils,11/30/17,
Western Carolina Catamounts,Charleston Cougars,11/30/17,
Molloy Lions,Hofstra Pride,11/30/17,
Central Pennsylvania College Knights,Howard Bison,11/30/17,
Hartford Hawks,LIU Brooklyn Blackbirds,11/30/17,
Harvard Crimson,Northeastern Huskies,11/30/17,
Texas Southern Tigers,Oakland Golden Grizzlies,11/30/17,
College of New Rochelle Blue Angels,St. Francis Brooklyn Terriers,11/30/17,
Campbell Fighting Camels,Stetson Hatters,11/30/17,
Christendom College Crusaders,North Carolina Central Eagles,11/30/17,
Indiana-Kokomo Cougars,Fort Wayne Mastodons,11/30/17,
Carver College Cougars,Savannah State Tigers,11/30/17,
Bethune-Cookman Wildcats,Jacksonville Dolphins,11/30/17,
St. Thomas (TX) Celts,Sam Houston State Bearkats,11/30/17,
Alabama State Hornets,Jacksonville State Gamecocks,11/30/17,
South Dakota Coyotes,UMKC Kangaroos,11/30/17,
Weber State Wildcats,Fresno State Bulldogs,11/30/17,
Multnomah Lions,Portland Pilots,11/30/17,
Northern Arizona Lumberjacks,Santa Clara Broncos,11/30/17,
Pacific Tigers,UC Riverside Highlanders,11/30/17,
Kennesaw State Owls,Seattle Redhawks,11/30/17,
San Diego State Aztecs,San Diego Toreros,11/30/17,
Manhattan Jaspers,Holy Cross Crusaders,12/1/17,
Towson Tigers,La Salle Explorers,12/1/17,
Marist Red Foxes,Citadel Bulldogs,12/1/17,
UMBC Retrievers,Army West Point Black Knights,12/1/17,
Jackson State Tigers,Central Michigan Chippewas,12/1/17,
Delaware Fightin' Blue Hens,Navy Midshipmen,12/1/17,
Coppin State Eagles,Ohio Bobcats,12/1/17,
Edward Waters Tigers,Stetson Hatters,12/1/17,
Fairfield Stags,Wagner Seahawks,12/1/17,
Johnson & Wales (NC) Wildcats,High Point Panthers,12/1/17,
Rust College Bearcats,Alcorn State Braves,12/1/17,
Eastern Illinois Panthers,Bradley Braves,12/1/17,
Louisiana Ragin' Cajuns,Nicholls Colonels,12/1/17,
Texas Lutheran Bulldogs,Texas A&M-Corpus Christi Islanders,12/1/17,
Bethesda Flames,Idaho State Bengals,12/1/17,
Holy Cross Crusaders,La Salle Explorers,12/2/17,
Manhattan Jaspers,Towson Tigers,12/2/17,
Fairleigh Dickinson Knights,Iona Gaels,12/2/17,
UNCG Spartans,Liberty Flames,12/2/17,
Bryant Bulldogs,New Hampshire Wildcats,12/2/17,
Radford Highlanders,VMI Keydets,12/2/17,
IUPUI Jaguars,Ball State Cardinals,12/2/17,
Green Bay Phoenix,Belmont Bruins,12/2/17,
Central Connecticut State Blue Devils,Brown Bears,12/2/17,
St. Bonaventure Bonnies,Buffalo Bulls,12/2/17,
Oakland City Mighty Oaks,Evansville Aces,12/2/17,
Maine Black Bears,Fordham Rams,12/2/17,
Quinnipiac Bobcats,Lafayette Leopards,12/2/17,
Robert Morris Colonials,Siena Saints,12/2/17,
Oakland Golden Grizzlies,Western Michigan Broncos,12/2/17,
Reinhardt Eagles,Winthrop Eagles,12/2/17,
Colgate Raiders,Binghamton Bearcats,12/2/17,
UMBC Retrievers,Citadel Bulldogs,12/2/17,
Air Force Falcons,Denver Pioneers,12/2/17,
Williams Baptist Eagles,New Orleans Privateers,12/2/17,
USC Upstate Spartans,Gardner-Webb Runnin' Bulldogs,12/2/17,
Fayetteville State Broncos,Longwood Lancers,12/2/17,
Northern Illinois Huskies,Chicago State Cougars,12/2/17,
Oral Roberts Golden Eagles,Little Rock Trojans,12/2/17,
Dartmouth Big Green,Canisius Golden Griffins,12/2/17,
Rider Broncs,Drexel Dragons,12/2/17,
Tennessee Tech Golden Eagles,Furman Paladins,12/2/17,
UIC Flames,Loyola Chicago Ramblers,12/2/17,
American University Eagles,Maryland Eastern Shore Hawks,12/2/17,
Loyola Maryland Greyhounds,Mount St. Mary's Mountaineers,12/2/17,
Cornell Big Red,Northeastern Huskies,12/2/17,
North Carolina A&T Aggies,Presbyterian Blue Hose,12/2/17,
San Jose State Spartans,Southern Illinois Salukis,12/2/17,
Montana State Bobcats,Milwaukee Panthers,12/2/17,
Portland Bible Wildcats,Portland State Vikings,12/2/17,
William & Mary Tribe,Savannah State Tigers,12/2/17,
Alabama A&M Bulldogs,Austin Peay Governors,12/2/17,
Louisiana-Monroe Warhawks,Stephen F. Austin Lumberjacks,12/2/17,
Schreiner Mountaineers,Abilene Christian Wildcats,12/2/17,
Tennessee Wesleyan Bulldogs,Georgia Southern Eagles,12/2/17,
UT Martin Skyhawks,Chattanooga Mocs,12/2/17,
Marist Red Foxes,Army West Point Black Knights,12/2/17,
Jacksonville Dolphins,Eastern Kentucky Colonels,12/2/17,
Drake Bulldogs,Wyoming Cowboys,12/2/17,
Bowling Green Falcons,Norfolk State Spartans,12/2/17,
Vermont Catamounts,Bucknell Bison,12/2/17,
Lamar Cardinals,Coastal Carolina Chanticleers,12/2/17,
Saint Peter's Peacocks,Elon Phoenix,12/2/17,
Cleveland State Vikings,Kent State Golden Flashes,12/2/17,
Fresno State Bulldogs,Long Beach State 49ers,12/2/17,
Trinity Baptist Eagles,North Florida Ospreys,12/2/17,
Saint Francis U Red Flash,Stony Brook Seawolves,12/2/17,
Texas Southern Tigers,Toledo Rockets,12/2/17,
Southeast Missouri State Redhawks,North Carolina Central Eagles,12/2/17,
